scenario,method,p95_fct_ms,p99_fct_ms,mean_fct_ms,slo_violation_pct,link_utilization_pct,queue_occupancy_pct,packet_loss_pct,jain_fairness,route_churn_pct,intervention_success_pct,harmful_action_pct,rollback_pct,source_localization_pct,telemetry_overhead_pct,inference_latency_ms,counterfactual_mape_pct
elephant_flow_arrival,ECMP,19.044731027367956,23.13476309985886,6.656726896173156,28.761111111111113,78.88657198546859,50.32606318548626,0.14436271237628828,0.8810289330223507,0.0,0.0,0.0,0.0,0.0,0.3549786564083684,0.20244393697013546,
elephant_flow_arrival,Static-TE,14.59511017629477,21.495777744391713,5.196788109975029,17.883333333333333,76.45556922108118,44.421698666993244,0.0800833863036596,0.8898167674029481,2.7733333333333334,82.19301077626372,17.80698922373627,0.0,82.19301077626372,0.5355055586705361,0.4242634330743354,
elephant_flow_arrival,Correlation-ML,17.521233644426616,27.794193295265767,5.252808927321897,17.72222222222222,73.18253334334956,41.68065251935244,0.10482945241995972,0.8843133332230174,13.223333333333333,72.20405298757937,27.79594701242063,0.0,72.20405298757937,1.4553966144397263,2.8711779727589826,22.89726499560014
elephant_flow_arrival,DRL,12.847590916485277,22.466023400215114,3.795043941347299,9.8,66.18073441401856,32.70143659591315,0.05430842038690049,0.8926925146122237,16.865277777777777,79.40195484854591,20.59804515145409,0.0,79.40195484854591,1.7664544261402133,4.824293863871329,19.20283919990005
elephant_flow_arrival,Twin-No-Causal,6.687886107829777,13.162785390396598,2.4162626344248292,2.7777777777777777,56.45599133529693,21.712330945619538,0.013062231655435746,0.9069400881112393,10.927111111111111,85.9069552225961,9.960672452041418,4.132372325362482,85.29340661419886,2.10896914623739,5.680773831194852,14.04764484619049
elephant_flow_arrival,CausalNetTwin,2.412980422777027,6.170485110402939,1.7238963339477693,0.48888888888888893,39.235833382839836,8.23253143050046,0.0018962037026076716,0.9173859789482256,5.201777777777778,99.22644324069672,0.025148794301818357,0.7484079650014532,94.13702519960161,2.633699766914058,7.188405793587651,8.288110216393438
backup_ai_collision,ECMP,25.57617292653476,25.79006910252613,16.813174701727505,72.68888888888888,97.41024534341494,84.34026438967426,0.6132337365083637,0.8842068748728508,0.0,0.0,0.0,0.0,0.0,0.3549786564083684,0.20244393697013546,
backup_ai_collision,Static-TE,29.228743183527897,38.04573968693069,13.614755516727913,63.44444444444444,95.87103580739372,77.17777316739232,0.42740824389200277,0.8830188787648657,4.6563888888888885,82.1555400519903,17.844459948009707,0.0,82.1555400519903,0.5572108779304514,0.42633563701736565,
backup_ai_collision,Correlation-ML,36.553001685105514,39.85598461556549,13.238137076756562,50.27777777777778,93.35968976172258,71.6641676217568,0.4548376142928154,0.8703163644126225,19.42222222222222,71.89497370017492,28.105026299825074,0.0,71.89497370017493,1.4550384575148123,2.8936919850019973,22.805478401050998
backup_ai_collision,DRL,28.021862988714005,38.85448701677515,8.930558662801278,31.472222222222225,85.55283733116727,57.642202887299305,0.24637541837187898,0.8709913931928787,24.38888888888889,79.0078488557807,20.9921511442193,0.0,79.0078488557807,1.7631594829655635,4.791820021080873,19.08393474360744
backup_ai_collision,Twin-No-Causal,16.55117942294123,26.90279957378237,4.929488227750652,13.3,73.77834112803652,40.44393360757677,0.07917305581020617,0.8816954852047384,15.431999999999999,85.5578475801383,10.607025603738945,3.8351268161227563,85.10782585816392,2.091409504412817,5.703992850437474,13.888233129146583
backup_ai_collision,CausalNetTwin,12.431893908066193,19.580492175434717,3.6658256446992827,8.305555555555555,59.49378648315248,27.450236938622094,0.038090935316822144,0.8757558963298291,6.065333333333333,99.14009208511169,0.03654414712488617,0.8233637677634227,94.01938255562348,2.649977919435903,7.203734622772349,8.219558567459778
